n_neighbors,min_dist,epsilon_multiplier,epsilon,silhouette_score,davies_bouldin_index,calinski_harabasz_index
25,0.0,0.8,4.948169799355772,0.6385588645935059,0.5009952433556891,12577.130465215983
25,0.0,0.9,5.566691024275244,0.6271860599517822,0.5047826386462857,11545.495575338831
25,0.0,1.0,6.185212249194715,0.6945915818214417,0.436364644309541,14003.561761689889
25,0.1,0.8,3.73258458674524,0.6135255098342896,0.5843509359549361,13106.901115966295
25,0.1,0.9,4.199157660088395,0.5908911228179932,0.6428871029613473,10390.474705602266
25,0.1,1.0,4.66573073343155,0.5967937111854553,0.5834049328942549,12647.544746507881
25,0.2,0.8,3.409323511272415,0.6756184697151184,0.6040147301839605,15537.042407140683
25,0.2,0.9,3.835488950181467,0.6097936034202576,0.6051553594243648,14659.575219447952
25,0.2,1.0,4.261654389090519,0.6300489902496338,0.512846381924927,16351.445408159494
25,0.3,0.8,3.1140564032574485,0.612501323223114,0.564303421243957,16709.762331075097
25,0.3,0.9,3.5033134536646298,0.5590627789497375,0.6074568098768234,12539.127396427231
25,0.3,1.0,3.8925705040718106,0.6065738797187805,0.4533677708682501,15186.515200819622
25,0.4,0.8,4.012196750736578,0.597929060459137,0.6488848319423575,12857.298954788472
25,0.4,0.9,4.51372134457865,0.5647512078285217,0.5177538709369093,13173.69295651746
25,0.4,1.0,5.015245938420723,0.6223605871200562,0.49554796317085287,16134.214089603693
25,0.5,0.8,2.7947660232738585,0.6746730208396912,0.5168229520306735,28694.83696445009
25,0.5,0.9,3.144111776183091,0.5981343984603882,0.6054750900143023,16416.494668999203
25,0.5,1.0,3.493457529092323,0.5793662071228027,0.5124826697917317,12720.972848846612
30,0.0,0.8,3.561839534097377,0.8323005437850952,0.4074377530411243,76026.66688163915
30,0.0,0.9,4.0070694758595495,0.7568032741546631,0.46754021582696464,39458.728307891026
30,0.0,1.0,4.452299417621721,0.6541434526443481,0.6205368454297631,18741.6153845627
30,0.1,0.8,2.957706966385913,0.8038556575775146,0.3993924491604524,69613.75320843411
30,0.1,0.9,3.3274203371841518,0.680488109588623,0.5044019076137529,28369.19572591447
30,0.1,1.0,3.697133707982391,0.6041141152381897,0.6520156614794208,16119.223848882602
30,0.2,0.8,3.136457452988821,0.7580237984657288,0.474334486718688,42868.51886257719
30,0.2,0.9,3.5285146346124234,0.6075412631034851,0.596183045959027,15297.090586481641
30,0.2,1.0,3.920571816236026,0.656765878200531,0.5392546044508613,18222.64366962168
30,0.3,0.8,3.0967299107746613,0.6653806567192078,0.5605813503668926,19059.92746103396
30,0.3,0.9,3.483821149621494,0.563352108001709,0.5394301677309914,10742.077790884936
30,0.3,1.0,3.8709123884683265,0.560689389705658,0.5738657222613545,12300.262027749393
30,0.4,0.8,1.425646776854224,0.825593113899231,0.26814455859152175,61958.108716033865
30,0.4,0.9,1.6038526239610018,0.8216119408607483,0.28119698934802423,61604.01983549427
30,0.4,1.0,1.7820584710677798,0.813378632068634,0.3029181710322806,60062.507936246984
30,0.5,0.8,1.7495410233995188,0.7390345931053162,0.47649977602272414,46661.75620429654
30,0.5,0.9,1.9682336513244587,0.735771894454956,0.4799310056321717,47698.53660939822
30,0.5,1.0,2.1869262792493984,0.7029329538345337,0.4388547513624713,40846.775478136646
50,0.0,0.8,2.8294810044620182,0.835992693901062,0.35204486997150486,112542.78059571456
50,0.0,0.9,3.1831661300197704,0.8073671460151672,0.4125526408233497,80986.34295490125
50,0.0,1.0,3.5368512555775227,0.807911217212677,0.43893194020156096,69549.80016999238
50,0.1,0.8,2.070059047125383,0.8349811434745789,0.3166531477911693,118350.1807492439
50,0.1,0.9,2.3288164280160553,0.792523205280304,0.3861513262968999,85630.013635291
50,0.1,1.0,2.587573808906728,0.7739761471748352,0.4244044331431031,69716.13752469407
50,0.2,0.8,1.6761825158646837,0.8446562886238098,0.30827679142288333,66122.90361558805
50,0.2,0.9,1.885705330347769,0.8446562886238098,0.30827679142288333,66122.90361558805
50,0.2,1.0,2.0952281448308545,0.8167850971221924,0.3231525853235506,61207.77410804682
50,0.3,0.8,1.377870331266097,0.8253903388977051,0.3398002107811477,87450.16825923431
50,0.3,0.9,1.550104122674359,0.8110336065292358,0.3643669458318434,90117.97016152897
50,0.3,1.0,1.7223379140826212,0.8002371788024902,0.3957600664709493,87299.01714042704
50,0.4,0.8,1.436731558905255,0.7372640371322632,0.43523168555099767,62915.173981749096
50,0.4,0.9,1.6163230037684118,0.7424418926239014,0.4345006011507706,60300.14261145821
50,0.4,1.0,1.7959144486315686,0.7316690683364868,0.48071228360792373,64837.845409457805
50,0.5,0.8,0.7450832925380895,0.8023972511291504,0.23158769595369935,48672.73719341022
50,0.5,0.9,0.8382187041053507,0.7998912334442139,0.23740412456070142,48709.12363814761
50,0.5,1.0,0.9313541156726118,0.7965450286865234,0.25778554791307207,48796.34101588428
60,0.0,0.8,2.357283167220867,0.889677107334137,0.2608254706651467,220897.65379913963
60,0.0,0.9,2.6519435631234756,0.8972400426864624,0.2419293172646362,204514.36171425573
60,0.0,1.0,2.946603959026084,0.8931100368499756,0.28203798312857964,186673.02742393487
60,0.1,0.8,2.9159486442253097,0.7271342277526855,0.5020862218354315,42559.0570941276
60,0.1,0.9,3.2804422247534735,0.6926891803741455,0.5462085528619534,31773.822266309624
60,0.1,1.0,3.644935805281637,0.64110267162323,0.6641042665995109,27236.19545530651
60,0.2,0.8,1.3434350358141431,0.8771947622299194,0.2613224833716522,117685.58162673815
60,0.2,0.9,1.5113644152909111,0.8096680641174316,0.39624430388316967,87832.04814061652
60,0.2,1.0,1.679293794767679,0.8107249736785889,0.38922552750072215,89488.34312854978
60,0.3,0.8,1.613541880148313,0.7610571384429932,0.4343827710624272,91141.13756949281
60,0.3,0.9,1.8152346151668521,0.7183690071105957,0.5405541393840201,73071.0206654313
60,0.3,1.0,2.0169273501853913,0.6656360030174255,0.5800331389527135,48431.33915506071
60,0.4,0.8,1.0243095115497935,0.8298794031143188,0.35803232988456835,102898.13254630967
60,0.4,0.9,1.1523482004935177,0.8128147721290588,0.3865873500021119,100608.9848824482
60,0.4,1.0,1.2803868894372419,0.7412430644035339,0.5382366311032502,78349.63480820757
60,0.5,0.8,1.2568775100741099,0.7456453442573547,0.4887534934013227,76444.2368319615
60,0.5,0.9,1.4139871988333734,0.7310661673545837,0.4567418196416226,78575.96668660996
60,0.5,1.0,1.5710968875926372,0.7303445935249329,0.4529469823324952,75884.09190340883
