n_neighbors,min_dist,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size,silhouette_score,davies_bouldin_index,calinski_harabasz_index
25,0.3,0.9,3.5033134536646298,6,0,0.0,169,0.5590627789497375,0.6074568098768234,12539.127396427231
25,0.3,1.0,3.8925705040718106,4,0,0.0,201,0.6065738797187805,0.4533677708682501,15186.515200819622
25,0.4,0.8,4.012196750736578,6,75,0.9543198880264664,201,0.597929060459137,0.6488848319423575,12857.298954788472
25,0.4,0.9,4.51372134457865,4,39,0.4962463417737626,201,0.5647512078285217,0.5177538709369093,13173.69295651746
25,0.4,1.0,5.015245938420723,3,0,0.0,2118,0.6223605871200562,0.49554796317085287,16134.214089603693
25,0.5,0.8,2.7947660232738585,13,115,1.4632904949739152,51,0.6746730208396912,0.5168229520306735,28694.83696445009
25,0.5,0.9,3.144111776183091,9,37,0.4707978114263901,51,0.5981343984603882,0.6054750900143023,16416.494668999203
25,0.5,1.0,3.493457529092323,7,37,0.4707978114263901,51,0.5793662071228027,0.5124826697917317,12720.972848846612
30,0.0,0.8,3.561839534097377,15,80,1.0179412138948976,58,0.8323005437850952,0.4074377530411243,76026.66688163915
30,0.0,0.9,4.0070694758595495,11,37,0.4707978114263901,98,0.7568032741546631,0.46754021582696464,39458.728307891026
30,0.0,1.0,4.452299417621721,8,0,0.0,175,0.6541434526443481,0.6205368454297631,18741.6153845627
30,0.1,0.8,2.957706966385913,14,159,2.023158162616109,51,0.8038556575775146,0.3993924491604524,69613.75320843411
30,0.1,0.9,3.3274203371841518,9,61,0.7761801755948594,95,0.680488109588623,0.5044019076137529,28369.19572591447
30,0.1,1.0,3.697133707982391,8,0,0.0,95,0.6041141152381897,0.6520156614794208,16119.223848882602
30,0.2,0.8,3.136457452988821,12,32,0.407176485557959,98,0.7580237984657288,0.474334486718688,42868.51886257719
30,0.2,0.9,3.5285146346124234,8,32,0.407176485557959,98,0.6075412631034851,0.596183045959027,15297.090586481641
30,0.2,1.0,3.920571816236026,6,0,0.0,201,0.656765878200531,0.5392546044508613,18222.64366962168
30,0.3,0.8,3.0967299107746613,10,66,0.8398015014632905,55,0.6653806567192078,0.5605813503668926,19059.92746103396
30,0.3,0.9,3.483821149621494,7,66,0.8398015014632905,55,0.563352108001709,0.5394301677309914,10742.077790884936
30,0.3,1.0,3.8709123884683265,6,26,0.3308308945158417,175,0.560689389705658,0.5738657222613545,12300.262027749393
30,0.4,0.8,1.425646776854224,20,257,3.2701361496373584,55,0.825593113899231,0.26814455859152175,61958.108716033865
30,0.4,0.9,1.6038526239610018,20,218,2.773889807863596,55,0.8216119408607483,0.28119698934802423,61604.01983549427
30,0.4,1.0,1.7820584710677798,20,150,1.9086397760529328,55,0.813378632068634,0.3029181710322806,60062.507936246984
30,0.5,0.8,1.7495410233995188,16,238,3.0283751113373203,55,0.7390345931053162,0.47649977602272414,46661.75620429654
30,0.5,0.9,1.9682336513244587,15,175,2.226746405395088,55,0.735771894454956,0.4799310056321717,47698.53660939822
30,0.5,1.0,2.1869262792493984,13,161,2.0486066929634816,55,0.7029329538345337,0.4388547513624713,40846.775478136646
50,0.0,0.8,2.8294810044620182,13,125,1.5905331467107775,61,0.835992693901062,0.35204486997150486,112542.78059571456
50,0.0,0.9,3.1831661300197704,12,76,0.9670441532001526,61,0.8073671460151672,0.4125526408233497,80986.34295490125
50,0.0,1.0,3.5368512555775227,10,0,0.0,134,0.807911217212677,0.43893194020156096,69549.80016999238
50,0.1,0.8,2.070059047125383,16,76,0.9670441532001526,94,0.8349811434745789,0.3166531477911693,118350.1807492439
50,0.1,0.9,2.3288164280160553,15,76,0.9670441532001526,94,0.792523205280304,0.3861513262968999,85630.013635291
50,0.1,1.0,2.587573808906728,13,0,0.0,98,0.7739761471748352,0.4244044331431031,69716.13752469407
50,0.2,0.8,1.6761825158646837,19,145,1.8450184501845017,58,0.8446562886238098,0.30827679142288333,66122.90361558805
50,0.2,0.9,1.885705330347769,19,145,1.8450184501845017,58,0.8446562886238098,0.30827679142288333,66122.90361558805
50,0.2,1.0,2.0952281448308545,17,67,0.8525257666369767,58,0.8167850971221924,0.3231525853235506,61207.77410804682
50,0.3,0.8,1.377870331266097,20,177,2.252194935742461,58,0.8253903388977051,0.3398002107811477,87450.16825923431
50,0.3,0.9,1.550104122674359,18,177,2.252194935742461,58,0.8110336065292358,0.3643669458318434,90117.97016152897
50,0.3,1.0,1.7223379140826212,17,108,1.3742206387581117,58,0.8002371788024902,0.3957600664709493,87299.01714042704
50,0.4,0.8,1.436731558905255,14,123,1.5650846163634051,94,0.7372640371322632,0.43523168555099767,62915.173981749096
50,0.4,0.9,1.6163230037684118,13,70,0.8906985621580354,98,0.7424418926239014,0.4345006011507706,60300.14261145821
50,0.4,1.0,1.7959144486315686,11,12,0.15269118208423463,175,0.7316690683364868,0.48071228360792373,64837.845409457805
50,0.5,0.8,0.7450832925380895,23,411,5.229672986385036,55,0.8023972511291504,0.23158769595369935,48672.73719341022
50,0.5,0.9,0.8382187041053507,23,384,4.886117826695508,58,0.7998912334442139,0.23740412456070142,48709.12363814761
50,0.5,1.0,0.9313541156726118,23,336,4.27535309835857,58,0.7965450286865234,0.25778554791307207,48796.34101588428
60,0.0,0.8,2.357283167220867,18,76,0.9670441532001526,58,0.889677107334137,0.2608254706651467,220897.65379913963
60,0.0,0.9,2.6519435631234756,17,76,0.9670441532001526,58,0.8972400426864624,0.2419293172646362,204514.36171425573
60,0.0,1.0,2.946603959026084,17,0,0.0,58,0.8931100368499756,0.28203798312857964,186673.02742393487
60,0.1,0.8,2.9159486442253097,11,58,0.7380073800738007,95,0.7271342277526855,0.5020862218354315,42559.0570941276
60,0.1,0.9,3.2804422247534735,9,37,0.4707978114263901,95,0.6926891803741455,0.5462085528619534,31773.822266309624
60,0.1,1.0,3.644935805281637,8,0,0.0,95,0.64110267162323,0.6641042665995109,27236.19545530651
60,0.2,0.8,1.3434350358141431,19,177,2.252194935742461,68,0.8771947622299194,0.2613224833716522,117685.58162673815
60,0.2,0.9,1.5113644152909111,16,156,1.9849853670950504,68,0.8096680641174316,0.39624430388316967,87832.04814061652
60,0.2,1.0,1.679293794767679,15,156,1.9849853670950504,71,0.8107249736785889,0.38922552750072215,89488.34312854978
60,0.3,0.8,1.613541880148313,13,124,1.5778088815370912,58,0.7610571384429932,0.4343827710624272,91141.13756949281
60,0.3,0.9,1.8152346151668521,11,101,1.2851507825423083,94,0.7183690071105957,0.5405541393840201,73071.0206654313
60,0.3,1.0,2.0169273501853913,10,86,1.094286804937015,94,0.6656360030174255,0.5800331389527135,48431.33915506071
60,0.4,0.8,1.0243095115497935,20,191,2.430334648174068,58,0.8298794031143188,0.35803232988456835,102898.13254630967
60,0.4,0.9,1.1523482004935177,18,177,2.252194935742461,58,0.8128147721290588,0.3865873500021119,100608.9848824482
60,0.4,1.0,1.2803868894372419,16,72,0.9161470925054078,58,0.7412430644035339,0.5382366311032502,78349.63480820757
60,0.5,0.8,1.2568775100741099,15,90,1.14518386563176,64,0.7456453442573547,0.4887534934013227,76444.2368319615
60,0.5,0.9,1.4139871988333734,13,90,1.14518386563176,64,0.7310661673545837,0.4567418196416226,78575.96668660996
60,0.5,1.0,1.5710968875926372,12,90,1.14518386563176,64,0.7303445935249329,0.4529469823324952,75884.09190340883
